ID,Text,Source Type,Link
49,"Alongside improved factuality, GPT‑5 (with thinking) more honestly communicates its actions and capabilities to the user—especially for tasks which are impossible, underspecified, or missing key tools.",openai website,https://openai.com/index/introducing-gpt-5/
50,"When reasoning, GPT‑5 more accurately recognizes when tasks can’t be completed and communicates its limits clearly. We evaluated deception rates on settings involving impossible coding tasks and missing multimodal assets, and found that GPT‑5 (with thinking) is less deceptive than o3 across the board",openai website,https://openai.com/index/introducing-gpt-5/
51,"GPT‑5 advances the frontier on safety. In the past, ChatGPT relied primarily on refusal-based safety training: based on the user’s prompt, the model should either comply or refuse. ",openai website,https://openai.com/index/introducing-gpt-5/
52,"If the model needs to refuse, GPT‑5 is trained to transparently tell you why it is refusing, as well as provide safe alternatives.",openai website,https://openai.com/index/introducing-gpt-5/
53,"Overall, GPT‑5 is less effusively agreeable, uses fewer unnecessary emojis, and is more subtle and thoughtful in follow‑ups compared to GPT‑4o. It should feel less like “talking to AI” and more like chatting with a helpful friend with PhD‑level intelligence.",openai website,https://openai.com/index/introducing-gpt-5/
54,"In targeted sycophancy evaluations using prompts specifically designed to elicit sycophantic responses, GPT‑5 meaningfully reduced sycophantic replies (from 14.5% to less than 6%).",openai website,https://openai.com/index/introducing-gpt-5/
55,"GPT‑5 is significantly better at instruction following, and we see a corresponding improvement in its ability to follow custom instructions.",openai website,https://openai.com/index/introducing-gpt-5/
56,"For the most challenging, complex tasks, we are also releasing GPT‑5 pro, replacing OpenAI o3‑pro, a variant of GPT‑5 that thinks for ever longer, using scaled but efficient parallel test-time compute, to provide the highest quality and most comprehensive answers. GPT‑5 pro achieves the highest performance in the GPT‑5 family on several challenging intelligence benchmarks, including state-of-the-art performance on GPQA, which contains extremely difficult science questions.",openai website,https://openai.com/index/introducing-gpt-5/
57,"In evaluations on over 1000 economically valuable, real-world reasoning prompts, external experts preferred GPT‑5 pro over ""GPT‑5 thinking"" 67.8% of the time. GPT‑5 pro made 22% fewer major errors and excelled in health, science, mathematics, and coding. Experts rated its responses as relevant, useful, and comprehensive.",openai website,https://openai.com/index/introducing-gpt-5/
58,"We trained GPT‑5 to be a true coding collaborator. It excels at producing high-quality code and handling tasks such as fixing bugs, editing code, and answering questions about complex codebases. ",openai website,https://openai.com/index/introducing-gpt-5-for-developers/
59,"GPT‑5 also excels at long-running agentic tasks—achieving SOTA results on τ2-bench telecom (96.7%), a tool-calling benchmark released just 2 months ago. GPT‑5’s improved tool intelligence lets it reliably chain together dozens of tool calls—both in sequence and in parallel—without losing its way, making it far better at executing complex, real-world tasks end to end. It also follows tool instructions more precisely, is better at handling tool errors, and excels at long-context content retrieval. ",openai website,https://openai.com/index/introducing-gpt-5-for-developers/
60,"GPT‑5 is the strongest coding model we’ve ever released. It outperforms o3 across coding benchmarks and real-world use cases, and has been fine-tuned to shine in agentic coding products like Cursor, Windsurf, GitHub Copilot, and Codex CLI. GPT‑5 impressed our alpha testers, setting records on many of their private internal evals. ",openai website,https://openai.com/index/introducing-gpt-5-for-developers/
61,"When producing frontend code for web apps, GPT‑5 is more aesthetically-minded, ambitious, and accurate. In side-by-side comparisons with o3, GPT‑5 was preferred by our testers 70% of the time.",openai website,https://openai.com/index/introducing-gpt-5-for-developers/
62,"We’ve also found GPT‑5 to be excellent at digging deep into codebases to answer questions about how various pieces work or interoperate. In a codebase as complicated as OpenAI’s reinforcement learning stack, we’re finding that GPT‑5 can help us reason about and answer questions about our code, accelerating our own day-to-day work. ",openai website,https://openai.com/index/introducing-gpt-5-for-developers/
63,"GPT-5 is a unified system with a smart and fast model that answers most questions, a deeper
reasoning model for harder problems, and a real-time router that quickly decides which model to
use based on conversation type, complexity, tool needs, and explicit intent (for example, if you
say “think hard about this” in the prompt)",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
64,"The GPT-5 system not only outperforms previous models
on benchmarks and answers questions more quickly, but—more importantly—is more useful
for real-world queries",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
65,"This is relevant for GPT-5 since it has access to browse the web and use connectors as well as
other tools",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
66,"We have post-trained the GPT-5 models to be less sycophantic, and we are actively researching
related areas of concern, such as situations that may involve emotional dependency or other
forms of mental or emotional distress.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
67,"One of our focuses when training the GPT-5 models was to reduce the frequency of factual
hallucinations.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
68,"We evaluate the gpt-5-thinking, gpt-5-thinking-mini, and gpt-5-thinking-nano models as well as
OpenAI o3 and o4-mini, and find that the GPT-5 models have significantly lower hallucination
rates in both ""browse-on"" and ""browse-off"" settings",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
69,"To measure performance and safety in health-related settings, we evaluated the GPT-5 model family on HealthBench [8]. We report scores for HealthBench, HealthBench Hard, and HealthBench",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
70,"The GPT-5 models further push the frontier of health performance, soon after the release of
OpenAI o3, OpenAI o4-mini, and GPT-4.1 in April 2025 and the gpt-oss models earlier in August
2025. We hope that the release of these models helps realize the benefits of AI on human health.
Please note that these models do not replace a medical professional and are not intended for the
diagnosis or treatment of disease.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
71,The gpt-5 model series does not meet the threshold for high cyber risk.,GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
72,"For the gpt-5 models, gpt-5-thinking performs similarly to OpenAI o3: it is unable to solve any
of the cyber range scenarios unaided. With hints, it solves two of the light scenarios – Simple
Privilege Escalation and Azure SSRF – infrequently, though slightly improved over OpenAI o3.
Compared to ChatGPT agent, gpt-5-thinking does worse for both the aided and unaided light
scenarios.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
73,"In addition to the other safety measures described in this system card, we take steps to prevent
adversaries from compromising sensitive intellectual property, including customer data, and
theft of model weights used to power the GPT-5 models.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
74,It can be helpful to think of the GPT-5 models as successors to previous models:,GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
75,"We’ve made significant advances in reducing hallucinations, improving
instruction following, and minimizing sycophancy, and have leveled up GPT-5’s performance in
three of ChatGPT’s most common uses: writing, coding, and health.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
76,"All of the GPT-5 models
additionally feature safe-completions, our latest approach to safety training to prevent disallowed
content.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
77,"Like OpenAI’s other models, the GPT-5 models were trained on diverse datasets, including
information that is publicly available on the internet, information that we partner with third
parties to access, and information that our users or human trainers and researchers provide or
generate.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
78,"In the evaluations below, we find it helpful to compare the new GPT-5 model to its predecessor
to understand the progression of safety",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
79,"OpenAI reasoning models, including gpt-5-thinking, gpt-5-thinking-mini, and gpt-5-thinking-nano,
are trained to reason through reinforcement learning. These models are trained to think before
they answer: they can produce a long internal chain of thought before responding to the user.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
80,"While gpt-5-thinking generally performs on par or higher than OpenAI o3, gpt-5-main underperforms GPT-4o in several areas while overperforming in others.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
81,"The gpt-5-main regression in non-violent hate, harassment/threatening, and sexual/minors is not
statistically significant and can be attributed to natural noise in the evaluation",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
82,"We first evaluate the factual correctness of gpt-5-thinking and gpt-5-main on prompts representative of real ChatGPT production conversations, using an LLM-based grading model with web
access to identify major and minor factual errors in the assistant’s responses",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
83,"We find
that gpt-5-main has a hallucination rate (i.e., percentage of factual claims that contain minor
or major errors) 26% smaller than GPT-4o, while gpt-5-thinking has a hallucination rate 65%
smaller than OpenAI o3.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
84,"We find that gpt-5-
thinking shows slight improvement in hallucination rate over OpenAI o3, and gpt-5-thinking-mini
reasoning shows significant improvement in abstention behavior over OpenAI o4-mini.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
85,"Across all four evaluation settings, gpt-5-thinking demonstrates
significantly less deceptive behavior than our prior frontier reasoning model, OpenAI o3.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
86,"We find that gpt-5-
thinking shows reduced deception compared to OpenAI o3 in 10 out of 11 types of impediment,
and it is more likely to acknowledge that it could not solve the task.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
87,"In the one category we
measured gpt-5-thinking being more deceptive, the model decides against citing sources despite
the system prompt stating that it must do so; however, in many of these cases there are no
relevant citations for the model to give",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
88,"State of the
art on HealthBench Hard improves from 31.6% for OpenAI o3 to 46.2% for gpt-5-thinking.
gpt-5-thinking-mini performs nearly as well (40.3% on HealthBench Hard), also outperforming
all previous models, despite its size. Both also score higher than OpenAI’s gpt-oss open-weight
models. gpt-5-main outperforms previous non-thinking models by a large margin, achieving a
score of 25.5% on HealthBench Hard, where GPT-4o gets 0.0%.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
89,"To evaluate the models’ multilingual capabilities, we used professional human translators to
translate MMLU’s test set into 13 languages. We find that gpt-5-thinking and gpt-5-main perform
generally on par with existing models.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
90,"We designed a red team with 25 red teamers with backgrounds in defense, intelligence, and law
enforcement/security professions to assess gpt-5-thinking’s usefulness for planning violent attacks.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
91,"The Microsoft AI Red Team concluded that the gpt-5-thinking model exhibits one of the strongest
AI safety profiles among OpenAI’s models—on par with or better than OpenAI o3—across most
critical harm categories, based on an extensive red-teaming exercise.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
92," In the psychosocial domain, Microsoft found that gpt-5-thinking can be improved on detecting and
responding to some specific situations where someone appears to be experiencing mental or
emotional distress; this finding matches similar results that OpenAI has found when testing
against previous OpenAI models.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
93,"Because parallel test time compute can further increase
performance on some evaluations and because gpt-5-thinking is near the High threshold in this
capability domain, we also chose to measure gpt-5-thinking-pro’s performance on our biological
evaluations.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
94,"The gpt-5-thinking helpful-only variant seems to be able to synthesize biorisk-related information
across all five steps of the biothreat creation process.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
95,"SecureBio found that on static evaluations, gpt-5-thinking performed similarly to OpenAI o3:
slightly weaker on the multiple-response benchmarks and comparable or slightly stronger on
the open-answer benchmark. ",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
96,"With mitigations in place, gpt-5-thinking refused every prompt for every agent
and long-form evaluation. Their manual red-teaming found that gpt-5-thinking-helpful-only was
broadly similar in capability to OpenAI o3-helpful-only.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
97,"SecureBio ran gpt-5-thinking and gpt-5-thinking-helpful-only on static benchmarks, agent evaluations, and long-form evaluations using the API, running n=10 per evaluation.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
98,"While this is an
improvement over prior releases, gpt-5-thinking-mini still does not significantly move the needle
on other Range challenges, and performs similarly to the other models on CTF challenges. The
gpt-5 model series does not meet the threshold for high cyber risk.",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
99,"gpt-5-thinking-mini, however, performs much better; it solves the Simple Privilege Escalation
scenario twice, as opposed to ChatGPT agent’s one solve, but does not solve any other. With
hints, it is able to consistently solve Simple Privilege Escalation, solve the Basic C2 and Azure
SSRF scenarios a small number of times, and is the first model to solve the Online Retailer
scenario. ",GPT-5 System Card,https://cdn.openai.com/gpt-5-system-card.pdf
